ev_id,sta,net,stla,stlo,elev_m,dist_deg,baz_deg,phase,origin_time_utc,arr_time_utc,travel_time_s,tt_residual_s,tdef,evla,evlo,evdep_km,mag_type,mag
617050239,MJAR,IR,36.5417,138.2090,422.0,71.13,319.8,P,2020-01-01T08:31:26.47,2020-01-01T08:42:45.50,679.030,0.6,True,-17.5266,-172.4716,13.1,,
617050239,MAJO,IR,36.5427,138.2070,405.9,71.13,319.8,P,2020-01-01T08:31:26.47,2020-01-01T08:42:41.50,675.030,-3.4,True,-17.5266,-172.4716,13.1,,
617050239,MJB9,IR,36.5458,138.2039,454.5,71.14,319.8,P,2020-01-01T08:31:26.47,2020-01-01T08:42:41.64,675.170,-3.3,True,-17.5266,-172.4716,13.1,,
617050239,JMN,IR,33.7282,133.8790,550.0,72.19,315.2,P,2020-01-01T08:31:26.47,2020-01-01T08:42:48.09,681.620,-3.2,True,-17.5266,-172.4716,13.1,,
617050239,JKA,IR,44.1160,142.6000,220.0,73.80,328.0,P,2020-01-01T08:31:26.47,2020-01-01T08:43:01.83,695.360,1.2,True,-17.5266,-172.4716,13.1,,
617050239,ASAJ,IR,44.1165,142.5968,220.0,73.81,328.0,P,2020-01-01T08:31:26.47,2020-01-01T08:43:01.82,695.350,1.2,True,-17.5266,-172.4716,13.1,,
617050239,JNU,IR,33.1217,130.8783,540.0,73.89,313.1,P,2020-01-01T08:31:26.47,2020-01-01T08:42:57.83,691.360,-3.6,True,-17.5266,-172.4716,13.1,,
617050239,KSRS,IR,37.4540,127.9230,0.0,78.29,315.5,P,2020-01-01T08:31:26.47,2020-01-01T08:43:28.40,721.930,2.1,True,-17.5266,-172.4716,13.1,,
617050239,PSTR,IR,42.6510,130.8040,41.0,79.39,321.1,P,2020-01-01T08:31:26.47,2020-01-01T08:43:33.20,726.730,1.0,True,-17.5266,-172.4716,13.1,,
617050239,USRK,IR,44.1998,131.9888,170.0,79.61,322.9,P,2020-01-01T08:31:26.47,2020-01-01T08:43:33.90,727.430,0.5,True,-17.5266,-172.4716,13.1,,
617050239,MDJ,IR,44.6164,129.5920,250.0,81.24,322.2,P,2020-01-01T08:31:26.47,2020-01-01T08:43:43.90,737.430,1.7,True,-17.5266,-172.4716,13.1,,
617050239,BNX,IR,45.7394,127.4045,227.0,83.15,322.3,P,2020-01-01T08:31:26.47,2020-01-01T08:43:53.90,747.430,1.7,True,-17.5266,-172.4716,13.1,,
617050239,CN2,IR,43.8014,125.4480,230.0,83.28,319.9,P,2020-01-01T08:31:26.47,2020-01-01T08:43:54.40,747.930,1.5,True,-17.5266,-172.4716,13.1,,
617094506,SNY,IR,41.8278,123.5780,54.0,49.52,61.4,P,2020-01-02T04:29:05.89,2020-01-02T04:37:58.80,532.910,2.0,True,34.0715,60.2751,9.0,,
617094506,CN2,IR,43.8014,125.4480,230.0,50.43,58.5,P,2020-01-02T04:29:05.89,2020-01-02T04:38:04.40,538.510,0.6,True,34.0715,60.2751,9.0,,
617094506,BNX,IR,45.7394,127.4045,227.0,51.39,55.7,P,2020-01-02T04:29:05.89,2020-01-02T04:38:11.80,545.910,0.9,True,34.0715,60.2751,9.0,,
617094506,TJN,IR,36.3772,127.3638,60.0,53.84,67.0,P,2020-01-02T04:29:05.89,2020-01-02T04:38:30.40,564.510,1.2,True,34.0715,60.2751,9.0,,
617094506,KS19,IR,37.5019,127.8669,276.0,53.86,65.6,P,2020-01-02T04:29:05.89,2020-01-02T04:38:29.01,563.120,-0.4,True,34.0715,60.2751,9.0,,
617094506,KSAR,IR,37.4421,127.8844,109.0,53.90,65.6,P,2020-01-02T04:29:05.89,2020-01-02T04:38:28.99,563.100,-0.6,True,34.0715,60.2751,9.0,,
617094506,KSRS,IR,37.4540,127.9230,0.0,53.92,65.6,P,2020-01-02T04:29:05.89,2020-01-02T04:38:28.54,562.650,-1.2,True,34.0715,60.2751,9.0,,
617094506,PSTR,IR,42.6510,130.8040,41.0,54.51,58.7,P,2020-01-02T04:29:05.89,2020-01-02T04:38:35.70,569.810,1.7,True,34.0715,60.2751,9.0,,
617094506,USRK,IR,44.1998,131.9888,170.0,54.92,56.6,P,2020-01-02T04:29:05.89,2020-01-02T04:38:36.53,570.640,-0.4,True,34.0715,60.2751,9.0,,
617094506,JNU,IR,33.1217,130.8783,540.0,57.68,69.5,P,2020-01-02T04:29:05.89,2020-01-02T04:38:57.18,591.290,0.3,True,34.0715,60.2751,9.0,,
617094506,JSU,IR,31.5058,130.4550,400.0,57.97,71.4,P,2020-01-02T04:29:05.89,2020-01-02T04:38:58.52,592.630,-0.4,True,34.0715,60.2751,9.0,,
617094506,JMN,IR,33.7282,133.8790,550.0,59.77,67.7,P,2020-01-02T04:29:05.89,2020-01-02T04:39:13.10,607.210,1.7,True,34.0715,60.2751,9.0,,
617094506,INU,IR,35.3488,137.0170,140.0,61.52,64.9,P,2020-01-02T04:29:05.89,2020-01-02T04:39:22.66,616.770,-0.6,True,34.0715,60.2751,9.0,,
617094506,MAJO,IR,36.5427,138.2070,405.9,61.94,63.2,P,2020-01-02T04:29:05.89,2020-01-02T04:39:29.80,623.910,3.6,True,34.0715,60.2751,9.0,,
617094506,MJAR,IR,36.5417,138.2090,422.0,61.94,63.2,P,2020-01-02T04:29:05.89,2020-01-02T04:39:25.20,619.310,-1.0,True,34.0715,60.2751,9.0,,
617094574,JOW,IR,26.8322,128.2745,220.0,32.55,5.4,P,2020-01-02T11:25:05.26,2020-01-02T11:31:35.63,390.370,0.7,True,-5.7593,125.0443,21.9,,
617094574,JCJ,IR,27.0955,142.1846,164.0,36.63,26.1,P,2020-01-02T11:25:05.26,2020-01-02T11:32:09.63,424.370,-0.6,True,-5.7593,125.0443,21.9,,
617094574,JNU,IR,33.1217,130.8783,540.0,39.06,7.8,P,2020-01-02T11:25:05.26,2020-01-02T11:32:30.64,445.380,-0.1,True,-5.7593,125.0443,21.9,,
617094574,JMN,IR,33.7282,133.8790,550.0,40.15,11.4,P,2020-01-02T11:25:05.26,2020-01-02T11:32:40.50,455.240,0.7,True,-5.7593,125.0443,21.9,,
617094574,TJN,IR,36.3772,127.3638,60.0,41.97,2.8,P,2020-01-02T11:25:05.26,2020-01-02T11:32:55.30,470.040,0.6,True,-5.7593,125.0443,21.9,,
617094574,INU,IR,35.3488,137.0170,140.0,42.41,14.6,P,2020-01-02T11:25:05.26,2020-01-02T11:32:58.90,473.640,0.6,True,-5.7593,125.0443,21.9,,
617094574,JGF,IR,35.6008,137.3572,580.0,42.74,14.8,P,2020-01-02T11:25:05.26,2020-01-02T11:33:01.40,476.140,0.4,True,-5.7593,125.0443,21.9,,
617094574,INCN,IR,37.4830,126.6330,420.0,43.04,1.9,P,2020-01-02T11:25:05.26,2020-01-02T11:33:02.52,477.260,-0.9,True,-5.7593,125.0443,21.9,,
617094574,KSAR,IR,37.4421,127.8844,109.0,43.06,3.3,P,2020-01-02T11:25:05.26,2020-01-02T11:33:04.18,478.920,0.7,True,-5.7593,125.0443,21.9,,
617094574,KSRS,IR,37.4540,127.9230,0.0,43.07,3.4,P,2020-01-02T11:25:05.26,2020-01-02T11:33:03.73,478.470,0.1,True,-5.7593,125.0443,21.9,,
617094574,MJAR,IR,36.5417,138.2090,422.0,43.85,15.4,P,2020-01-02T11:25:05.26,2020-01-02T11:33:09.73,484.470,-0.2,True,-5.7593,125.0443,21.9,,
617094574,MAJO,IR,36.5427,138.2070,405.9,43.85,15.3,P,2020-01-02T11:25:05.26,2020-01-02T11:33:09.42,484.160,-0.6,True,-5.7593,125.0443,21.9,,
617094574,JSD,IR,38.0370,138.2603,146.0,45.27,14.7,P,2020-01-02T11:25:05.26,2020-01-02T11:33:22.24,496.980,0.9,True,-5.7593,125.0443,21.9,,
617094574,SNY,IR,41.8278,123.5780,54.0,47.38,358.5,P,2020-01-02T11:25:05.26,2020-01-02T11:33:37.00,511.740,-0.7,True,-5.7593,125.0443,21.9,,
617094574,CN2,IR,43.8014,125.4480,230.0,49.33,0.4,P,2020-01-02T11:25:05.26,2020-01-02T11:33:54.80,529.540,2.0,True,-5.7593,125.0443,21.9,,
617094574,USRK,IR,44.1998,131.9888,170.0,50.12,6.5,P,2020-01-02T11:25:05.26,2020-01-02T11:33:58.35,533.090,-0.5,True,-5.7593,125.0443,21.9,,
617094574,MDJ,IR,44.6164,129.5920,250.0,50.31,4.2,P,2020-01-02T11:25:05.26,2020-01-02T11:34:00.70,535.440,0.4,True,-5.7593,125.0443,21.9,,
617094574,BNX,IR,45.7394,127.4045,227.0,51.31,2.1,P,2020-01-02T11:25:05.26,2020-01-02T11:34:07.50,542.240,-0.3,True,-5.7593,125.0443,21.9,,
617094574,TEY,IR,45.0360,136.6030,50.0,51.62,10.4,P,2020-01-02T11:25:05.26,2020-01-02T11:34:10.90,545.640,0.9,True,-5.7593,125.0443,21.9,,
617094574,ASAJ,IR,44.1165,142.5968,220.0,52.11,16.0,P,2020-01-02T11:25:05.26,2020-01-02T11:34:14.80,549.540,1.0,True,-5.7593,125.0443,21.9,,
617094574,JKA,IR,44.1160,142.6000,220.0,52.11,16.0,P,2020-01-02T11:25:05.26,2020-01-02T11:34:14.84,549.580,1.1,True,-5.7593,125.0443,21.9,,
617507033,JOW,IR,26.8322,128.2745,220.0,47.56,320.7,P,2020-01-02T13:41:30.80,2020-01-02T13:50:03.76,512.960,-0.2,True,-9.7697,159.8270,28.9,,
617507033,YOJ,IR,24.4617,123.0108,32.0,49.48,314.1,P,2020-01-02T13:41:30.80,2020-01-02T13:50:17.61,526.810,-1.2,True,-9.7697,159.8270,28.9,,
617507033,JSU,IR,31.5058,130.4550,400.0,49.76,326.7,P,2020-01-02T13:41:30.80,2020-01-02T13:50:20.86,530.060,-0.0,True,-9.7697,159.8270,28.9,,
617507033,INU,IR,35.3488,137.0170,140.0,49.78,335.5,P,2020-01-02T13:41:30.80,2020-01-02T13:50:20.17,529.370,-0.8,True,-9.7697,159.8270,28.9,,
617507033,JMN,IR,33.7282,133.8790,550.0,49.80,331.5,P,2020-01-02T13:41:30.80,2020-01-02T13:50:22.10,531.300,0.9,True,-9.7697,159.8270,28.9,,
617507033,JGF,IR,35.6008,137.3572,580.0,49.87,336.0,P,2020-01-02T13:41:30.80,2020-01-02T13:50:21.44,530.640,-0.2,True,-9.7697,159.8270,28.9,,
617507033,MJAR,IR,36.5417,138.2090,422.0,50.35,337.3,P,2020-01-02T13:41:30.80,2020-01-02T13:50:24.30,533.500,-1.0,True,-9.7697,159.8270,28.9,,
617507033,MAJO,IR,36.5427,138.2070,405.9,50.36,337.3,P,2020-01-02T13:41:30.80,2020-01-02T13:50:24.78,533.980,-0.5,True,-9.7697,159.8270,28.9,,
617507033,MJB9,IR,36.5458,138.2039,454.5,50.36,337.3,P,2020-01-02T13:41:30.80,2020-01-02T13:50:24.75,533.950,-0.6,True,-9.7697,159.8270,28.9,,
617507033,JNU,IR,33.1217,130.8783,540.0,50.79,328.4,P,2020-01-02T13:41:30.80,2020-01-02T13:50:28.54,537.740,-0.2,True,-9.7697,159.8270,28.9,,
617507033,JSD,IR,38.0370,138.2603,146.0,51.66,338.3,P,2020-01-02T13:41:30.80,2020-01-02T13:50:35.19,544.390,0.2,True,-9.7697,159.8270,28.9,,
617507033,TJN,IR,36.3772,127.3638,60.0,55.14,328.1,P,2020-01-02T13:41:30.80,2020-01-02T13:51:01.80,571.000,1.2,True,-9.7697,159.8270,28.9,,
617507033,KSRS,IR,37.4540,127.9230,0.0,55.68,329.4,P,2020-01-02T13:41:30.80,2020-01-02T13:51:05.40,574.600,0.9,True,-9.7697,159.8270,28.9,,
617507033,KSAR,IR,37.4421,127.8844,109.0,55.69,329.3,P,2020-01-02T13:41:30.80,2020-01-02T13:51:03.77,572.970,-0.8,True,-9.7697,159.8270,28.9,,
617507033,INCN,IR,37.4830,126.6330,420.0,56.36,328.5,P,2020-01-02T13:41:30.80,2020-01-02T13:51:10.80,580.000,1.4,True,-9.7697,159.8270,28.9,,
617507033,VLA,IR,43.1196,131.8848,61.0,58.48,336.3,P,2020-01-02T13:41:30.80,2020-01-02T13:51:24.20,593.400,-0.0,True,-9.7697,159.8270,28.9,,
617507033,PSTR,IR,42.6510,130.8040,41.0,58.53,335.2,P,2020-01-02T13:41:30.80,2020-01-02T13:51:24.60,593.800,0.0,True,-9.7697,159.8270,28.9,,
617507033,USRK,IR,44.1998,131.9888,170.0,59.35,337.0,P,2020-01-02T13:41:30.80,2020-01-02T13:51:30.67,599.870,0.4,True,-9.7697,159.8270,28.9,,
617507033,MDJ,IR,44.6164,129.5920,250.0,60.65,335.6,P,2020-01-02T13:41:30.80,2020-01-02T13:51:39.90,609.100,0.7,True,-9.7697,159.8270,28.9,,
617507033,CN2,IR,43.8014,125.4480,230.0,61.79,332.4,P,2020-01-02T13:41:30.80,2020-01-02T13:51:47.60,616.800,0.7,True,-9.7697,159.8270,28.9,,
617507033,BNX,IR,45.7394,127.4045,227.0,62.46,334.9,P,2020-01-02T13:41:30.80,2020-01-02T13:51:51.60,620.800,0.2,True,-9.7697,159.8270,28.9,,
617125016,YOJ,IR,24.4617,123.0108,32.0,31.31,349.0,P,2020-01-05T07:45:47.79,2020-01-05T07:51:47.75,359.960,-0.1,True,-6.4393,129.2437,216.8,,
617125016,JOW,IR,26.8322,128.2745,220.0,33.09,358.4,P,2020-01-05T07:45:47.79,2020-01-05T07:52:03.46,375.670,0.1,True,-6.4393,129.2437,216.8,,
617125016,JCJ,IR,27.0955,142.1846,164.0,35.61,20.1,P,2020-01-05T07:45:47.79,2020-01-05T07:52:24.50,396.710,-0.5,True,-6.4393,129.2437,216.8,,
617125016,JSU,IR,31.5058,130.4550,400.0,37.75,1.7,P,2020-01-05T07:45:47.79,2020-01-05T07:52:43.31,415.520,0.3,True,-6.4393,129.2437,216.8,,
617125016,JNU,IR,33.1217,130.8783,540.0,39.37,2.2,P,2020-01-05T07:45:47.79,2020-01-05T07:52:56.40,428.610,-0.1,True,-6.4393,129.2437,216.8,,
617125016,JMN,IR,33.7282,133.8790,550.0,40.19,6.0,P,2020-01-05T07:45:47.79,2020-01-05T07:53:03.96,436.170,0.8,True,-6.4393,129.2437,216.8,,
617125016,JGF,IR,35.6008,137.3572,580.0,42.51,9.8,P,2020-01-05T07:45:47.79,2020-01-05T07:53:22.56,454.770,0.6,True,-6.4393,129.2437,216.8,,
617125016,TJN,IR,36.3772,127.3638,60.0,42.63,357.8,P,2020-01-05T07:45:47.79,2020-01-05T07:53:23.80,456.010,0.9,True,-6.4393,129.2437,216.8,,
617125016,MJAR,IR,36.5417,138.2090,422.0,43.57,10.5,P,2020-01-05T07:45:47.79,2020-01-05T07:53:29.40,461.610,-1.1,True,-6.4393,129.2437,216.8,,
617125016,MAJO,IR,36.5427,138.2070,405.9,43.57,10.5,P,2020-01-05T07:45:47.79,2020-01-05T07:53:29.67,461.880,-0.8,True,-6.4393,129.2437,216.8,,
617125016,KSAR,IR,37.4421,127.8844,109.0,43.67,358.4,P,2020-01-05T07:45:47.79,2020-01-05T07:53:32.46,464.670,1.3,True,-6.4393,129.2437,216.8,,
617125016,KSRS,IR,37.4540,127.9230,0.0,43.68,358.5,P,2020-01-05T07:45:47.79,2020-01-05T07:53:31.80,464.010,0.5,True,-6.4393,129.2437,216.8,,
617125016,KS19,IR,37.5019,127.8669,276.0,43.73,358.4,P,2020-01-05T07:45:47.79,2020-01-05T07:53:32.50,464.710,0.8,True,-6.4393,129.2437,216.8,,
617125016,JSD,IR,38.0370,138.2603,146.0,45.04,10.1,P,2020-01-05T07:45:47.79,2020-01-05T07:53:42.17,474.380,0.1,True,-6.4393,129.2437,216.8,,
617125016,PSTR,IR,42.6510,130.8040,41.0,48.88,1.5,P,2020-01-05T07:45:47.79,2020-01-05T07:54:12.40,504.610,0.8,True,-6.4393,129.2437,216.8,,
617125016,VLA,IR,43.1196,131.8848,61.0,49.38,2.5,P,2020-01-05T07:45:47.79,2020-01-05T07:54:16.00,508.210,0.6,True,-6.4393,129.2437,216.8,,
617125016,CN2,IR,43.8014,125.4480,230.0,50.12,356.4,P,2020-01-05T07:45:47.79,2020-01-05T07:54:20.60,512.810,-0.4,True,-6.4393,129.2437,216.8,,
617125016,USRK,IR,44.1998,131.9888,170.0,50.47,2.6,P,2020-01-05T07:45:47.79,2020-01-05T07:54:23.90,516.110,0.4,True,-6.4393,129.2437,216.8,,
617125016,MDJ,IR,44.6164,129.5920,250.0,50.82,0.3,P,2020-01-05T07:45:47.79,2020-01-05T07:54:26.47,518.680,0.3,True,-6.4393,129.2437,216.8,,
617125016,ASAJ,IR,44.1165,142.5968,220.0,51.75,12.2,P,2020-01-05T07:45:47.79,2020-01-05T07:54:34.12,526.330,1.1,True,-6.4393,129.2437,216.8,,
617125016,BNX,IR,45.7394,127.4045,227.0,51.97,358.4,P,2020-01-05T07:45:47.79,2020-01-05T07:54:34.40,526.610,-0.3,True,-6.4393,129.2437,216.8,,
617124993,TJN,IR,36.3772,127.3638,60.0,30.12,1.8,P,2020-01-05T18:58:52.49,2020-01-05T19:04:54.50,362.010,0.2,True,6.1330,126.2353,83.7,,
617124993,INU,IR,35.3488,137.0170,140.0,30.72,17.4,P,2020-01-05T18:58:52.49,2020-01-05T19:04:58.50,366.010,-1.2,True,6.1330,126.2353,83.7,,
617124993,JGF,IR,35.6008,137.3572,580.0,31.06,17.7,P,2020-01-05T18:58:52.49,2020-01-05T19:05:01.41,368.920,-1.3,True,6.1330,126.2353,83.7,,
617124993,KSAR,IR,37.4421,127.8844,109.0,31.20,2.5,P,2020-01-05T18:58:52.49,2020-01-05T19:05:03.33,370.840,-0.5,True,6.1330,126.2353,83.7,,
617124993,KSRS,IR,37.4540,127.9230,0.0,31.21,2.6,P,2020-01-05T18:58:52.49,2020-01-05T19:05:02.75,370.260,-1.2,True,6.1330,126.2353,83.7,,
617124993,KS19,IR,37.5019,127.8669,276.0,31.26,2.5,P,2020-01-05T18:58:52.49,2020-01-05T19:05:02.47,369.980,-1.9,True,6.1330,126.2353,83.7,,
617124993,MJAR,IR,36.5417,138.2090,422.0,32.19,18.3,P,2020-01-05T18:58:52.49,2020-01-05T19:05:11.08,378.590,-1.5,True,6.1330,126.2353,83.7,,
617124993,SNY,IR,41.8278,123.5780,54.0,35.62,356.6,P,2020-01-05T18:58:52.49,2020-01-05T19:05:43.00,410.510,0.8,True,6.1330,126.2353,83.7,,
617124993,PSTR,IR,42.6510,130.8040,41.0,36.59,5.7,P,2020-01-05T18:58:52.49,2020-01-05T19:05:51.00,418.510,0.6,True,6.1330,126.2353,83.7,,
617124993,VLA,IR,43.1196,131.8848,61.0,37.17,6.9,P,2020-01-05T18:58:52.49,2020-01-05T19:05:56.20,423.710,0.8,True,6.1330,126.2353,83.7,,
617124993,CN2,IR,43.8014,125.4480,230.0,37.52,359.1,P,2020-01-05T18:58:52.49,2020-01-05T19:05:59.20,426.710,0.9,True,6.1330,126.2353,83.7,,
617124993,USRK,IR,44.1998,131.9888,170.0,38.25,6.7,P,2020-01-05T18:58:52.49,2020-01-05T19:06:04.82,432.330,0.4,True,6.1330,126.2353,83.7,,
617124993,MDJ,IR,44.6164,129.5920,250.0,38.44,3.9,P,2020-01-05T18:58:52.49,2020-01-05T19:06:06.84,434.350,0.8,True,6.1330,126.2353,83.7,,
617124993,BNX,IR,45.7394,127.4045,227.0,39.47,1.3,P,2020-01-05T18:58:52.49,2020-01-05T19:06:15.20,442.710,0.6,True,6.1330,126.2353,83.7,,
617124993,ASAJ,IR,44.1165,142.5968,220.0,40.46,18.2,P,2020-01-05T18:58:52.49,2020-01-05T19:06:24.10,451.610,1.2,True,6.1330,126.2353,83.7,,
617124993,JKA,IR,44.1160,142.6000,220.0,40.47,18.2,P,2020-01-05T18:58:52.49,2020-01-05T19:06:24.12,451.630,1.2,True,6.1330,126.2353,83.7,,
617125225,INU,IR,35.3488,137.0170,140.0,31.88,18.1,P,2020-01-06T07:25:35.63,2020-01-06T07:31:55.57,379.940,-0.4,True,5.1625,125.4497,52.1,,
617125225,JGF,IR,35.6008,137.3572,580.0,32.22,18.4,P,2020-01-06T07:25:35.63,2020-01-06T07:31:58.60,382.970,-0.4,True,5.1625,125.4497,52.1,,
617125225,KSRS,IR,37.4540,127.9230,0.0,32.22,3.7,P,2020-01-06T07:25:35.63,2020-01-06T07:31:58.80,383.170,-0.1,True,5.1625,125.4497,52.1,,
617125225,MAJO,IR,36.5427,138.2070,405.9,33.35,18.9,P,2020-01-06T07:25:35.63,2020-01-06T07:32:07.29,391.660,-1.6,True,5.1625,125.4497,52.1,,
617125225,MJAR,IR,36.5417,138.2090,422.0,33.35,18.9,P,2020-01-06T07:25:35.63,2020-01-06T07:32:07.89,392.260,-1.0,True,5.1625,125.4497,52.1,,
617125225,JSD,IR,38.0370,138.2603,146.0,34.74,17.9,P,2020-01-06T07:25:35.63,2020-01-06T07:32:20.10,404.470,-0.8,True,5.1625,125.4497,52.1,,
617125225,PSTR,IR,42.6510,130.8040,41.0,37.63,6.5,P,2020-01-06T07:25:35.63,2020-01-06T07:32:46.10,430.470,0.6,True,5.1625,125.4497,52.1,,
617125225,VLA,IR,43.1196,131.8848,61.0,38.23,7.6,P,2020-01-06T07:25:35.63,2020-01-06T07:32:51.10,435.470,0.6,True,5.1625,125.4497,52.1,,
617125225,CN2,IR,43.8014,125.4480,230.0,38.48,360.0,P,2020-01-06T07:25:35.63,2020-01-06T07:32:55.80,440.170,3.2,True,5.1625,125.4497,52.1,,
617125225,USRK,IR,44.1998,131.9888,170.0,39.30,7.4,P,2020-01-06T07:25:35.63,2020-01-06T07:32:59.82,444.190,0.3,True,5.1625,125.4497,52.1,,
617125225,MDJ,IR,44.6164,129.5920,250.0,39.46,4.7,P,2020-01-06T07:25:35.63,2020-01-06T07:33:01.17,445.540,0.3,True,5.1625,125.4497,52.1,,
617125225,BNX,IR,45.7394,127.4045,227.0,40.45,2.1,P,2020-01-06T07:25:35.63,2020-01-06T07:33:08.00,452.370,-1.1,True,5.1625,125.4497,52.1,,
617125225,ASAJ,IR,44.1165,142.5968,220.0,41.63,18.6,P,2020-01-06T07:25:35.63,2020-01-06T07:33:18.87,463.240,0.2,True,5.1625,125.4497,52.1,,
617125225,JKA,IR,44.1160,142.6000,220.0,41.63,18.6,P,2020-01-06T07:25:35.63,2020-01-06T07:33:19.39,463.760,0.7,True,5.1625,125.4497,52.1,,
617125961,KSAR,IR,37.4421,127.8844,109.0,49.39,9.9,P,2020-01-06T22:31:52.94,2020-01-06T22:40:42.48,529.540,-0.1,True,-11.4018,118.4382,11.4,,
617125961,KSRS,IR,37.4540,127.9230,0.0,49.41,9.9,P,2020-01-06T22:31:52.94,2020-01-06T22:40:41.70,528.760,-1.0,True,-11.4018,118.4382,11.4,,
617125961,MAJO,IR,36.5427,138.2070,405.9,51.20,20.5,P,2020-01-06T22:31:52.94,2020-01-06T22:40:54.35,541.410,-2.0,True,-11.4018,118.4382,11.4,,
617125961,MJAR,IR,36.5417,138.2090,422.0,51.20,20.5,P,2020-01-06T22:31:52.94,2020-01-06T22:40:54.46,541.520,-1.9,True,-11.4018,118.4382,11.4,,
617125961,JSD,IR,38.0370,138.2603,146.0,52.57,19.7,P,2020-01-06T22:31:52.94,2020-01-06T22:41:04.44,551.500,-2.1,True,-11.4018,118.4382,11.4,,
617125961,SNY,IR,41.8278,123.5780,54.0,53.17,4.8,P,2020-01-06T22:31:52.94,2020-01-06T22:41:09.70,556.760,-1.2,True,-11.4018,118.4382,11.4,,
617125961,CN2,IR,43.8014,125.4480,230.0,55.31,6.2,P,2020-01-06T22:31:52.94,2020-01-06T22:41:29.70,576.760,3.2,True,-11.4018,118.4382,11.4,,
617125961,MDJ,IR,44.6164,129.5920,250.0,56.66,9.5,P,2020-01-06T22:31:52.94,2020-01-06T22:41:38.20,585.260,2.0,True,-11.4018,118.4382,11.4,,
617125961,USRK,IR,44.1998,131.9888,170.0,56.69,11.6,P,2020-01-06T22:31:52.94,2020-01-06T22:41:35.70,582.760,-0.7,True,-11.4018,118.4382,11.4,,
617125961,BNX,IR,45.7394,127.4045,227.0,57.45,7.4,P,2020-01-06T22:31:52.94,2020-01-06T22:41:40.80,587.860,-0.9,True,-11.4018,118.4382,11.4,,
617125972,JCJ,IR,27.0955,142.1846,164.0,32.70,352.0,P,2020-01-07T01:38:17.63,2020-01-07T01:44:31.48,373.850,0.3,True,-5.4594,147.0366,201.8,,
617125972,JOW,IR,26.8322,128.2745,220.0,36.88,331.4,P,2020-01-07T01:38:17.63,2020-01-07T01:45:07.89,410.260,0.9,True,-5.4594,147.0366,201.8,,
617125972,YOJ,IR,24.4617,123.0108,32.0,37.84,322.8,P,2020-01-07T01:38:17.63,2020-01-07T01:45:16.62,418.990,1.5,True,-5.4594,147.0366,201.8,,
617125972,JMN,IR,33.7282,133.8790,550.0,40.92,343.2,P,2020-01-07T01:38:17.63,2020-01-07T01:45:42.41,444.780,2.0,True,-5.4594,147.0366,201.8,,
617125972,JNU,IR,33.1217,130.8783,540.0,41.32,339.3,P,2020-01-07T01:38:17.63,2020-01-07T01:45:44.41,446.780,0.7,True,-5.4594,147.0366,201.8,,
617125972,INU,IR,35.3488,137.0170,140.0,41.67,347.6,P,2020-01-07T01:38:17.63,2020-01-07T01:45:48.10,450.470,1.7,True,-5.4594,147.0366,201.8,,
617125972,JGF,IR,35.6008,137.3572,580.0,41.84,348.1,P,2020-01-07T01:38:17.63,2020-01-07T01:45:48.68,451.050,0.7,True,-5.4594,147.0366,201.8,,
617125972,MJAR,IR,36.5417,138.2090,422.0,42.59,349.5,P,2020-01-07T01:38:17.63,2020-01-07T01:45:54.50,456.870,0.6,True,-5.4594,147.0366,201.8,,
617125972,MAJO,IR,36.5427,138.2070,405.9,42.59,349.5,P,2020-01-07T01:38:17.63,2020-01-07T01:45:54.21,456.580,0.3,True,-5.4594,147.0366,201.8,,
617125972,MJB9,IR,36.5458,138.2039,454.5,42.60,349.5,P,2020-01-07T01:38:17.63,2020-01-07T01:45:55.24,457.610,1.3,True,-5.4594,147.0366,201.8,,
617125972,JSD,IR,38.0370,138.2603,146.0,44.04,350.0,P,2020-01-07T01:38:17.63,2020-01-07T01:46:05.73,468.100,0.3,True,-5.4594,147.0366,201.8,,
617125972,KSRS,IR,37.4540,127.9230,0.0,46.26,338.9,P,2020-01-07T01:38:17.63,2020-01-07T01:46:24.20,486.570,1.3,True,-5.4594,147.0366,201.8,,
617125972,KSAR,IR,37.4421,127.8844,109.0,46.27,338.8,P,2020-01-07T01:38:17.63,2020-01-07T01:46:23.71,486.080,0.8,True,-5.4594,147.0366,201.8,,
617125972,INCN,IR,37.4830,126.6330,420.0,46.77,337.6,P,2020-01-07T01:38:17.63,2020-01-07T01:46:28.00,490.370,1.1,True,-5.4594,147.0366,201.8,,
617125972,USRK,IR,44.1998,131.9888,170.0,51.26,346.1,P,2020-01-07T01:38:17.63,2020-01-07T01:47:02.07,524.440,1.3,True,-5.4594,147.0366,201.8,,
617125972,CN2,IR,43.8014,125.4480,230.0,52.77,340.5,P,2020-01-07T01:38:17.63,2020-01-07T01:47:12.50,534.870,0.6,True,-5.4594,147.0366,201.8,,
617125972,BNX,IR,45.7394,127.4045,227.0,53.90,343.1,P,2020-01-07T01:38:17.63,2020-01-07T01:47:20.30,542.670,0.2,True,-5.4594,147.0366,201.8,,
617125978,YOJ,IR,24.4617,123.0108,32.0,33.82,47.1,P,2020-01-07T06:05:19.68,2020-01-07T06:12:01.27,401.590,0.6,True,2.3273,96.4130,20.4,MS,6.5
617125978,JOW,IR,26.8322,128.2745,220.0,39.07,48.5,P,2020-01-07T06:05:19.68,2020-01-07T06:12:45.97,446.290,0.4,True,2.3273,96.4130,20.4,MS,6.5
